Date,Symbol,Ordinary Shares Number,Share Issued,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Current Liabilities,Payables,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Net PPE,Accumulated Depreciation,Gross PPE,Machinery Furniture Equipment,Properties,Current Assets,Inventory,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Cash And Cash Equivalents,Quarter,Year,Current Ratio
2024-12-31,AAPL,15116786000.0,15116786000.0,56950000000.0,163579000000.0,-23405000000.0,56950000000.0,56950000000.0,142700000000.0,56950000000.0,56950000000.0,83276000000.0,83276000000.0,308030000000.0,131638000000.0,176392000000.0,95561000000.0,68960000000.0,364980000000.0,211993000000.0,55335000000.0,45680000000.0,-73448000000.0,119128000000.0,80205000000.0,0.0,152987000000.0,7286000000.0,33410000000.0,65171000000.0,29943000000.0,4,2024,0.8673125765340832
2023-12-31,AAPL,15550061000.0,15550061000.0,62146000000.0,173234000000.0,-1742000000.0,62146000000.0,62146000000.0,157427000000.0,62146000000.0,62146000000.0,73812000000.0,73812000000.0,290437000000.0,145129000000.0,145308000000.0,71430000000.0,62611000000.0,352583000000.0,209017000000.0,46906000000.0,43715000000.0,-70884000000.0,114599000000.0,78314000000.0,0.0,143566000000.0,6331000000.0,29508000000.0,61555000000.0,29965000000.0,4,2023,0.9880116717592975
2022-12-31,AAPL,15943425000.0,15943425000.0,50672000000.0,170741000000.0,-18577000000.0,50672000000.0,50672000000.0,149631000000.0,50672000000.0,50672000000.0,64849000000.0,64849000000.0,302083000000.0,148101000000.0,153982000000.0,70667000000.0,64115000000.0,352755000000.0,217350000000.0,39053000000.0,42117000000.0,-72340000000.0,114457000000.0,81060000000.0,0.0,135405000000.0,4946000000.0,28184000000.0,48304000000.0,23646000000.0,4,2022,0.8793560286267226
2021-12-31,AAPL,16426786000.0,16426786000.0,63090000000.0,187809000000.0,9355000000.0,63090000000.0,63090000000.0,172196000000.0,63090000000.0,63090000000.0,57365000000.0,57365000000.0,287912000000.0,162431000000.0,125481000000.0,54763000000.0,54763000000.0,351002000000.0,216166000000.0,38762000000.0,49527000000.0,-70283000000.0,119810000000.0,78659000000.0,0.0,134836000000.0,6580000000.0,26278000000.0,62639000000.0,34940000000.0,4,2021,1.0745531195957954
2024-12-31,ALC,494616324.0,499700000.0,4020000000.0,26192000000.0,4031000000.0,4020000000.0,21553000000.0,26091000000.0,21553000000.0,21553000000.0,20000000.0,20000000.0,8794000000.0,6516000000.0,2278000000.0,982000000.0,773000000.0,30347000000.0,24038000000.0,115000000.0,4838000000.0,-3199000000.0,8037000000.0,4270000000.0,0.0,6309000000.0,2268000000.0,1853000000.0,1830000000.0,1829000000.0,4,2024,2.769534679543459
2023-12-31,ALC,493244479.0,499644479.0,2638000000.0,25353000000.0,3249000000.0,2638000000.0,20624000000.0,25300000000.0,20624000000.0,20624000000.0,20000000.0,20000000.0,8990000000.0,6592000000.0,2398000000.0,1065000000.0,811000000.0,29614000000.0,23967000000.0,119000000.0,4723000000.0,-2975000000.0,7698000000.0,3989000000.0,0.0,5647000000.0,2322000000.0,1886000000.0,1101000000.0,1094000000.0,4,2023,2.35487906588824
2022-12-31,ALC,490086981.0,497986981.0,1062000000.0,24315000000.0,2455000000.0,1062000000.0,19677000000.0,24218000000.0,19677000000.0,19677000000.0,20000000.0,20000000.0,9488000000.0,6750000000.0,2738000000.0,1200000000.0,861000000.0,29165000000.0,23972000000.0,96000000.0,4416000000.0,-2750000000.0,7166000000.0,3694000000.0,0.0,5193000000.0,2109000000.0,1775000000.0,980000000.0,980000000.0,4,2022,1.8966398831263696
2021-12-31,ALC,490086981.0,499686981.0,1586000000.0,23329000000.0,2914000000.0,1586000000.0,19256000000.0,23222000000.0,19256000000.0,19256000000.0,20000000.0,20000000.0,8743000000.0,6271000000.0,2472000000.0,1241000000.0,903000000.0,27999000000.0,22613000000.0,54000000.0,4083000000.0,-2649000000.0,6732000000.0,3547000000.0,0.0,5386000000.0,1899000000.0,1593000000.0,1578000000.0,1575000000.0,4,2021,2.178802588996764
2024-12-31,BLCO,352402374.0,352402374.0,-1544000000.0,11257000000.0,1050000000.0,-1544000000.0,6473000000.0,11217000000.0,6544000000.0,6473000000.0,0.0,0.0,6925000000.0,5187000000.0,1738000000.0,389000000.0,389000000.0,13469000000.0,10681000000.0,294000000.0,1485000000.0,-1684000000.0,3169000000.0,1674000000.0,0.0,2788000000.0,1036000000.0,1026000000.0,305000000.0,305000000.0,4,2024,1.6041426927502878
2023-12-31,BLCO,350913804.0,350913804.0,-1314000000.0,11412000000.0,1163000000.0,-1314000000.0,6850000000.0,11382000000.0,6920000000.0,6850000000.0,0.0,0.0,6522000000.0,4943000000.0,1579000000.0,522000000.0,522000000.0,13442000000.0,10700000000.0,225000000.0,1390000000.0,-1630000000.0,3020000000.0,1657000000.0,0.0,2742000000.0,1028000000.0,839000000.0,331000000.0,331000000.0,4,2023,1.7365421152628246
