Date,Symbol,Free Cash Flow,Capital Expenditure,End Cash Position,Beginning Cash Position,Changes In Cash,Financing Cash Flow,Net Issuance Payments Of Debt,Investing Cash Flow,Net PPE Purchase And Sale,Purchase Of PPE,Operating Cash Flow,Change In Working Capital,Change In Inventory,Change In Receivables,Other Non Cash Items,Depreciation And Amortization,Net Income From Continuing Operations,Quarter,Year
2024-12-31,AAPL,108807000000.0,-9447000000.0,29943000000.0,30737000000.0,-794000000.0,-121983000000.0,-5998000000.0,2935000000.0,-9447000000.0,-9447000000.0,118254000000.0,3651000000.0,-1046000000.0,-5144000000.0,-2266000000.0,11445000000.0,93736000000.0,4,2024
2023-12-31,AAPL,99584000000.0,-10959000000.0,30737000000.0,24977000000.0,5760000000.0,-108488000000.0,-9901000000.0,3705000000.0,-10959000000.0,-10959000000.0,110543000000.0,-6577000000.0,-1618000000.0,-417000000.0,-2227000000.0,11519000000.0,96995000000.0,4,2023
2022-12-31,AAPL,111443000000.0,-10708000000.0,24977000000.0,35929000000.0,-10952000000.0,-110749000000.0,-123000000.0,-22354000000.0,-10708000000.0,-10708000000.0,122151000000.0,1200000000.0,1484000000.0,-9343000000.0,1006000000.0,11104000000.0,99803000000.0,4,2022
2021-12-31,AAPL,92953000000.0,-11085000000.0,35929000000.0,39789000000.0,-3860000000.0,-93353000000.0,12665000000.0,-14545000000.0,-11085000000.0,-11085000000.0,104038000000.0,-4911000000.0,-2642000000.0,-14028000000.0,-4921000000.0,11284000000.0,94680000000.0,4,2021
2024-12-31,ALC,1407000000.0,-670000000.0,1676000000.0,1094000000.0,588000000.0,-322000000.0,-137000000.0,-1167000000.0,-473000000.0,-473000000.0,2077000000.0,-189000000.0,-47000000.0,-55000000.0,52000000.0,1228000000.0,1018000000.0,4,2024
2023-12-31,ALC,537000000.0,-851000000.0,1094000000.0,980000000.0,83000000.0,-211000000.0,-7000000.0,-1094000000.0,-658000000.0,-658000000.0,1388000000.0,-404000000.0,-271000000.0,-110000000.0,-62000000.0,1221000000.0,974000000.0,4,2023
2022-12-31,ALC,472000000.0,-745000000.0,980000000.0,1575000000.0,-656000000.0,-8000000.0,208000000.0,-1865000000.0,-636000000.0,-636000000.0,1217000000.0,-522000000.0,-217000000.0,-164000000.0,105000000.0,1123000000.0,335000000.0,4,2022
2021-12-31,ALC,165000000.0,-1180000000.0,1575000000.0,1557000000.0,24000000.0,-123000000.0,-63000000.0,-1198000000.0,-700000000.0,-700000000.0,1345000000.0,-314000000.0,-326000000.0,-198000000.0,91000000.0,1219000000.0,376000000.0,4,2021
2024-12-31,BLCO,-59000000.0,-291000000.0,316000000.0,334000000.0,-2000000.0,178000000.0,201000000.0,-412000000.0,-291000000.0,-291000000.0,232000000.0,-87000000.0,-147000000.0,-227000000.0,83000000.0,436000000.0,-305000000.0,4,2024
2023-12-31,BLCO,-198000000.0,-181000000.0,334000000.0,380000000.0,-48000000.0,2078000000.0,2115000000.0,-2109000000.0,-181000000.0,-181000000.0,-17000000.0,-287000000.0,-264000000.0,-121000000.0,52000000.0,382000000.0,-248000000.0,4,2023
2022-12-31,BLCO,170000000.0,-175000000.0,380000000.0,177000000.0,211000000.0,81000000.0,2458000000.0,-215000000.0,-175000000.0,-175000000.0,345000000.0,-19000000.0,-106000000.0,-95000000.0,-15000000.0,379000000.0,15000000.0,4,2022
2021-12-31,BLCO,680000000.0,-193000000.0,177000000.0,238000000.0,-53000000.0,-712000000.0,28000000.0,-214000000.0,-193000000.0,-193000000.0,873000000.0,28000000.0,-15000000.0,-107000000.0,-2000000.0,415000000.0,193000000.0,4,2021
2024-12-31,COO,288100000.0,-421200000.0,107700000.0,120900000.0,-16100000.0,39200000.0,5600000.0,-764600000.0,-421200000.0,-421200000.0,709300000.0,-333700000.0,-59300000.0,-117100000.0,38700000.0,375100000.0,392300000.0,4,2024
