Date,Symbol,Ordinary Shares Number,Share Issued,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Current Liabilities,Payables,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Net PPE,Accumulated Depreciation,Gross PPE,Machinery Furniture Equipment,Properties,Current Assets,Inventory,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Cash And Cash Equivalents,Quarter,Year,Current Ratio
2024-12-31,AAPL,15037874000.0,15037874000.0,66758000000.0,163557000000.0,-11125000000.0,66758000000.0,66758000000.0,150714000000.0,66758000000.0,66758000000.0,84768000000.0,84768000000.0,277327000000.0,132962000000.0,144365000000.0,61910000000.0,61910000000.0,344085000000.0,210845000000.0,77183000000.0,46069000000.0,-74546000000.0,120615000000.0,,,133240000000.0,6911000000.0,29639000000.0,53775000000.0,30299000000.0,4,2024,0.9229383853427077
2024-09-30,AAPL,15116786000.0,15116786000.0,56950000000.0,163579000000.0,-23405000000.0,56950000000.0,56950000000.0,142700000000.0,56950000000.0,56950000000.0,83276000000.0,83276000000.0,308030000000.0,131638000000.0,176392000000.0,95561000000.0,68960000000.0,364980000000.0,211993000000.0,55335000000.0,45680000000.0,-73448000000.0,119128000000.0,80205000000.0,0.0,152987000000.0,7286000000.0,33410000000.0,65171000000.0,29943000000.0,3,2024,0.8673125765340832
2024-06-30,AAPL,15222259000.0,15222259000.0,66708000000.0,168012000000.0,-6189000000.0,66708000000.0,66708000000.0,152904000000.0,66708000000.0,66708000000.0,79850000000.0,79850000000.0,264904000000.0,133280000000.0,131624000000.0,47574000000.0,47574000000.0,331612000000.0,206177000000.0,70435000000.0,44502000000.0,-72627000000.0,117129000000.0,,,125435000000.0,6165000000.0,22795000000.0,61801000000.0,25565000000.0,2,2024,0.9529796997508053
2024-03-31,AAPL,15337686000.0,15337686000.0,74194000000.0,178784000000.0,4594000000.0,74194000000.0,74194000000.0,166025000000.0,74194000000.0,74194000000.0,78815000000.0,78815000000.0,263217000000.0,139395000000.0,123822000000.0,45753000000.0,45753000000.0,337411000000.0,208995000000.0,70262000000.0,43546000000.0,-71697000000.0,115243000000.0,,,128416000000.0,6232000000.0,21837000000.0,67150000000.0,32695000000.0,1,2024,1.0371016459110658
2023-12-31,AAPL,15460223000.0,15460223000.0,74100000000.0,182140000000.0,9719000000.0,74100000000.0,74100000000.0,169188000000.0,74100000000.0,74100000000.0,75236000000.0,75236000000.0,279414000000.0,145441000000.0,133973000000.0,58146000000.0,58146000000.0,353514000000.0,209822000000.0,66681000000.0,43666000000.0,-72510000000.0,116176000000.0,,,143692000000.0,6511000000.0,23194000000.0,73100000000.0,40760000000.0,4,2023,1.072544467915177
2023-09-30,AAPL,,,,,,,,,,,,,,,,,,,,,,,,78314000000.0,0.0,,,,,,3,2023,
2023-06-30,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023,
2024-12-31,ALC,494616324.0,499700000.0,4020000000.0,26192000000.0,4031000000.0,4020000000.0,21553000000.0,26091000000.0,21553000000.0,21553000000.0,20000000.0,20000000.0,8794000000.0,6516000000.0,2278000000.0,982000000.0,773000000.0,30347000000.0,24038000000.0,115000000.0,4838000000.0,-3199000000.0,8037000000.0,4270000000.0,0.0,6309000000.0,2268000000.0,1853000000.0,1830000000.0,1829000000.0,4,2024,2.769534679543459
2024-09-30,ALC,494600000.0,501000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1566000000.0,1566000000.0,3,2024,
2024-06-30,ALC,493244479.0,493244479.0,3255000000.0,25627000000.0,3647000000.0,3255000000.0,20941000000.0,25491000000.0,20941000000.0,20941000000.0,20000000.0,20000000.0,8777000000.0,6437000000.0,2340000000.0,1055000000.0,868000000.0,29718000000.0,23731000000.0,303000000.0,4686000000.0,,4686000000.0,,,5987000000.0,2332000000.0,1829000000.0,1372000000.0,1372000000.0,2,2024,2.5585470085470083
2024-03-31,ALC,493244479.0,493244479.0,2979000000.0,25518000000.0,3433000000.0,2979000000.0,20827000000.0,25380000000.0,20827000000.0,20827000000.0,20000000.0,20000000.0,8738000000.0,6467000000.0,2271000000.0,960000000.0,818000000.0,29565000000.0,23861000000.0,301000000.0,4682000000.0,,4682000000.0,,,5704000000.0,2319000000.0,1822000000.0,1141000000.0,1141000000.0,1,2024,2.5116688683399384
2023-12-31,ALC,493244479.0,499644479.0,2638000000.0,25353000000.0,3249000000.0,2638000000.0,20624000000.0,25300000000.0,20624000000.0,20624000000.0,20000000.0,20000000.0,8990000000.0,6592000000.0,2398000000.0,1065000000.0,811000000.0,29614000000.0,23967000000.0,119000000.0,4723000000.0,-2975000000.0,7698000000.0,3989000000.0,0.0,5647000000.0,2322000000.0,1886000000.0,1101000000.0,1094000000.0,4,2023,2.35487906588824
2024-12-31,BLCO,352402374.0,352402374.0,-1544000000.0,11257000000.0,1050000000.0,-1544000000.0,6473000000.0,11217000000.0,6544000000.0,6473000000.0,0.0,0.0,6925000000.0,5187000000.0,1738000000.0,389000000.0,389000000.0,13469000000.0,10681000000.0,294000000.0,1485000000.0,-1684000000.0,3169000000.0,1674000000.0,0.0,2788000000.0,1036000000.0,1026000000.0,305000000.0,305000000.0,4,2024,1.6041426927502878
2024-09-30,BLCO,352077427.0,352077427.0,-1376000000.0,11218000000.0,1027000000.0,-1376000000.0,6589000000.0,11188000000.0,6661000000.0,6589000000.0,0.0,0.0,6854000000.0,5053000000.0,1801000000.0,522000000.0,455000000.0,13515000000.0,10687000000.0,310000000.0,1481000000.0,,,,,2828000000.0,1119000000.0,943000000.0,329000000.0,329000000.0,3,2024,1.5702387562465296
2024-06-30,BLCO,351834173.0,351834173.0,-1471000000.0,11136000000.0,1093000000.0,-1471000000.0,6504000000.0,11106000000.0,6580000000.0,6504000000.0,0.0,0.0,6670000000.0,4994000000.0,1676000000.0,405000000.0,405000000.0,13250000000.0,10481000000.0,249000000.0,1430000000.0,,,,,2769000000.0,1069000000.0,986000000.0,285000000.0,285000000.0,2,2024,1.652147971360382
2024-03-31,BLCO,351401653.0,351401653.0,-1403000000.0,11243000000.0,1126000000.0,-1403000000.0,6659000000.0,11213000000.0,6729000000.0,6659000000.0,0.0,0.0,6564000000.0,4947000000.0,1617000000.0,426000000.0,426000000.0,13293000000.0,10550000000.0,231000000.0,1397000000.0,,,,,2743000000.0,1073000000.0,920000000.0,315000000.0,315000000.0,1,2024,1.6963512677798391
2023-12-31,BLCO,350913804.0,350913804.0,-1314000000.0,11412000000.0,1163000000.0,-1314000000.0,6850000000.0,11382000000.0,6920000000.0,6850000000.0,0.0,0.0,6522000000.0,4943000000.0,1579000000.0,522000000.0,522000000.0,13442000000.0,10700000000.0,225000000.0,1390000000.0,-1630000000.0,3020000000.0,1657000000.0,0.0,2742000000.0,1028000000.0,839000000.0,331000000.0,331000000.0,4,2023,1.7365421152628246
2023-09-30,BLCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023,
2023-06-30,BLCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023,
2025-03-31,COO,199900000.0,217500000.0,2595800000.0,10664100000.0,987400000.0,2595800000.0,8127300000.0,10616400000.0,8127500000.0,8127300000.0,21700000.0,21700000.0,4094700000.0,3095100000.0,999600000.0,201500000.0,201500000.0,12222200000.0,10235200000.0,663700000.0,1864700000.0,,,,,1987000000.0,842900000.0,716400000.0,100900000.0,100900000.0,1,2025,1.9877951180472189
2024-12-31,COO,199600000.0,217200000.0,2454000000.0,10663600000.0,928700000.0,2454000000.0,8083400000.0,10631400000.0,8083600000.0,8083400000.0,21700000.0,21700000.0,4231600000.0,3208800000.0,1022800000.0,260500000.0,260500000.0,12315200000.0,10363700000.0,660600000.0,1863400000.0,-1696500000.0,3559900000.0,2441700000.0,0.0,1951500000.0,802700000.0,717000000.0,107600000.0,107600000.0,4,2024,1.9079976535001955
2024-09-30,COO,199100000.0,216700000.0,2361000000.0,10553600000.0,957200000.0,2361000000.0,7925000000.0,10513800000.0,7925200000.0,7925000000.0,21700000.0,21700000.0,4182800000.0,3213300000.0,969500000.0,222000000.0,222000000.0,12108000000.0,10181300000.0,621400000.0,1747600000.0,,,,,1926700000.0,779300000.0,739000000.0,109700000.0,109700000.0,3,2024,1.9873130479628676
2024-06-30,COO,199100000.0,216800000.0,2245500000.0,10512700000.0,906500000.0,2245500000.0,7803700000.0,10472000000.0,7803900000.0,7803700000.0,21700000.0,21700000.0,4243500000.0,3291000000.0,952500000.0,230700000.0,230700000.0,12047400000.0,10188400000.0,637200000.0,1709300000.0,,,,,1859000000.0,775400000.0,688700000.0,112400000.0,112400000.0,2,2024,1.9517060367454069
2024-03-31,COO,198700000.0,214700000.0,2073800000.0,10463100000.0,829000000.0,2073800000.0,7695100000.0,10418000000.0,7695300000.0,7695100000.0,21600000.0,21600000.0,4337300000.0,3372400000.0,964900000.0,202300000.0,202300000.0,12032600000.0,10238700000.0,616900000.0,1682200000.0,,,,,1793900000.0,747500000.0,651000000.0,135200000.0,135200000.0,1,2024,1.859156389263136
2023-12-31,COO,,,,,,,,,,,,,,,,,,,,,,-1553300000.0,3185900000.0,2187100000.0,0.0,,,,,,4,2023,
2023-09-30,COO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023,
