Date,Symbol,Free Cash Flow,Capital Expenditure,End Cash Position,Beginning Cash Position,Changes In Cash,Financing Cash Flow,Net Issuance Payments Of Debt,Investing Cash Flow,Net PPE Purchase And Sale,Purchase Of PPE,Operating Cash Flow,Change In Working Capital,Change In Inventory,Change In Receivables,Other Non Cash Items,Depreciation And Amortization,Net Income From Continuing Operations,Quarter,Year
2024-12-31,AAPL,26995000000.0,-2940000000.0,30299000000.0,29943000000.0,356000000.0,-39371000000.0,-8953000000.0,9792000000.0,-2940000000.0,-2940000000.0,29935000000.0,-10752000000.0,215000000.0,6763000000.0,-2009000000.0,3080000000.0,36330000000.0,4,2024
2024-09-30,AAPL,23903000000.0,-2908000000.0,29943000000.0,26635000000.0,3308000000.0,-24948000000.0,4387000000.0,1445000000.0,-2908000000.0,-2908000000.0,26811000000.0,6608000000.0,-1087000000.0,-22941000000.0,-302000000.0,2911000000.0,14736000000.0,3,2024
2024-06-30,AAPL,26707000000.0,-2151000000.0,26635000000.0,33921000000.0,-7286000000.0,-36017000000.0,-3253000000.0,-127000000.0,-2151000000.0,-2151000000.0,28858000000.0,1684000000.0,-12000000.0,-2094000000.0,7000000.0,2850000000.0,21448000000.0,2,2024
2024-03-31,AAPL,20694000000.0,-1996000000.0,33921000000.0,41974000000.0,-8053000000.0,-30433000000.0,-3148000000.0,-310000000.0,-1996000000.0,-1996000000.0,22690000000.0,-5764000000.0,190000000.0,8767000000.0,-982000000.0,2836000000.0,23636000000.0,1,2024
2023-12-31,AAPL,37503000000.0,-2392000000.0,41974000000.0,30737000000.0,11237000000.0,-30585000000.0,-3984000000.0,1927000000.0,-2392000000.0,-2392000000.0,39895000000.0,1123000000.0,-137000000.0,11124000000.0,-989000000.0,2848000000.0,33916000000.0,4,2023
2023-09-30,AAPL,,,,,,,,,,,,,,,,,,3,2023
2023-06-30,AAPL,,,,,,,,,,,,,,,,,,2,2023
2024-06-30,ALC,410000000.0,-120000000.0,1372000000.0,1141000000.0,226000000.0,-171000000.0,-15000000.0,-133000000.0,-92000000.0,-92000000.0,530000000.0,-29000000.0,,,3000000.0,311000000.0,223000000.0,2,2024
2024-03-31,ALC,198000000.0,-143000000.0,1141000000.0,1094000000.0,57000000.0,-66000000.0,-43000000.0,-218000000.0,-112000000.0,-112000000.0,341000000.0,-287000000.0,,,4000000.0,296000000.0,248000000.0,1,2024
2023-06-30,ALC,101000000.0,-224000000.0,661000000.0,889000000.0,-233000000.0,-145000000.0,-3000000.0,-413000000.0,-117000000.0,-117000000.0,325000000.0,-65000000.0,,,-116000000.0,297000000.0,169000000.0,2,2023
2024-12-31,BLCO,-70000000.0,-92000000.0,316000000.0,350000000.0,-17000000.0,146000000.0,149000000.0,-185000000.0,-92000000.0,-92000000.0,22000000.0,-182000000.0,14000000.0,-119000000.0,36000000.0,106000000.0,-2000000.0,4,2024
2024-09-30,BLCO,94000000.0,-60000000.0,350000000.0,302000000.0,38000000.0,-20000000.0,-8000000.0,-96000000.0,-60000000.0,-60000000.0,154000000.0,98000000.0,-48000000.0,58000000.0,16000000.0,110000000.0,8000000.0,3,2024
2024-06-30,BLCO,-57000000.0,-72000000.0,302000000.0,325000000.0,-19000000.0,40000000.0,43000000.0,-74000000.0,-72000000.0,-72000000.0,15000000.0,-14000000.0,-27000000.0,-74000000.0,9000000.0,110000000.0,-148000000.0,2,2024
2024-03-31,BLCO,-26000000.0,-67000000.0,325000000.0,334000000.0,-4000000.0,12000000.0,17000000.0,-57000000.0,-67000000.0,-67000000.0,41000000.0,11000000.0,-86000000.0,-92000000.0,22000000.0,110000000.0,-163000000.0,1,2024
2023-12-31,BLCO,-69000000.0,-84000000.0,334000000.0,360000000.0,-34000000.0,86000000.0,89000000.0,-135000000.0,-84000000.0,-84000000.0,15000000.0,-100000000.0,-120000000.0,-39000000.0,29000000.0,116000000.0,-51000000.0,4,2023
2023-09-30,BLCO,,,,,,,,,,,,,,,,,,3,2023
2025-03-31,COO,101200000.0,-89400000.0,101000000.0,107700000.0,-2800000.0,-96600000.0,-43200000.0,-96800000.0,-89400000.0,-89400000.0,190600000.0,-75600000.0,,,36300000.0,91000000.0,104300000.0,1,2025
2024-12-31,COO,128100000.0,-140000000.0,107700000.0,109800000.0,-1900000.0,-28400000.0,-49600000.0,-241600000.0,-140000000.0,-140000000.0,268100000.0,-31200000.0,,,-146100000.0,91000000.0,117500000.0,4,2024
2024-09-30,COO,118500000.0,-89000000.0,109800000.0,112600000.0,-4200000.0,-87600000.0,-89500000.0,-124100000.0,-89000000.0,-89000000.0,207500000.0,-49800000.0,,,63600000.0,89000000.0,104700000.0,3,2024
2024-06-30,COO,36900000.0,-74100000.0,112600000.0,135300000.0,-20900000.0,-57100000.0,-57500000.0,-74800000.0,-74100000.0,-74100000.0,111000000.0,-143100000.0,,,95800000.0,98300000.0,88900000.0,2,2024
2024-03-31,COO,4600000.0,-118100000.0,135300000.0,120900000.0,10900000.0,212300000.0,202200000.0,-324100000.0,-118100000.0,-118100000.0,122700000.0,-109600000.0,,,25400000.0,96800000.0,81200000.0,1,2024
2023-12-31,COO,,,,,,,,,,,,,,,,,,4,2023
2023-09-30,COO,,,,,,,,,,,,,,,,,,3,2023
2024-09-30,CZMWF,37715000.0,,,,,-147851000.0,,-56205000.0,,,189919000.0,,,,,,,3,2024
2024-06-30,CZMWF,77329000.0,,,,,393451000.0,,-371108000.0,,,-2821000.0,,,,,,,2,2024
2024-03-31,CZMWF,-20929000.0,,,,,-72051000.0,,15408000.0,,,59221000.0,,,,,,,1,2024
2023-12-31,CZMWF,1000000.0,,,,,2700000.0,,-400000.0,,,1000000.0,,,,,,,4,2023
2023-09-30,CZMWF,33600000.0,,,,,-41694000.0,,-129580000.0,,,147461000.0,,,,,,,3,2023
2024-12-31,GKOS,-1226000.0,-1733000.0,174359000.0,104876000.0,72407000.0,60113000.0,-924000.0,11787000.0,-1733000.0,-1733000.0,507000.0,1895000.0,-627000.0,-5490000.0,1025000.0,9818000.0,-33580000.0,4,2024
2024-09-30,GKOS,-11036000.0,-1450000.0,104876000.0,72808000.0,30645000.0,9668000.0,-242000.0,30563000.0,-1450000.0,-1450000.0,-9586000.0,-10741000.0,-3056000.0,-4462000.0,-667000.0,12193000.0,-21409000.0,3,2024
2024-06-30,GKOS,-20518000.0,-2149000.0,72808000.0,48351000.0,25087000.0,8592000.0,-226000.0,34864000.0,-2111000.0,-2149000.0,-18369000.0,-8223000.0,-6554000.0,-4908000.0,20766000.0,7927000.0,-50545000.0,2,2024
2024-03-31,GKOS,-34838000.0,-968000.0,48351000.0,99323000.0,-50086000.0,13167000.0,-197000.0,-29383000.0,-968000.0,-968000.0,-33870000.0,-22405000.0,-8551000.0,-7106000.0,7869000.0,9984000.0,-40838000.0,1,2024
2023-12-31,GKOS,-14879000.0,-4214000.0,99323000.0,114785000.0,-16283000.0,7303000.0,-194000.0,-12921000.0,-4214000.0,-4214000.0,-10665000.0,5053000.0,-1927000.0,-308000.0,1161000.0,9621000.0,-36779000.0,4,2023
2023-09-30,GKOS,,,,,,,,,,,,,,,,,,3,2023
2023-06-30,GKOS,,,,,,,,,,,,,,,,,,2,2023
2024-12-31,JNJ,4838000000.0,-2145000000.0,24105000000.0,19980000000.0,4323000000.0,-1340000000.0,1535000000.0,-1320000000.0,-1612000000.0,-1612000000.0,6983000000.0,798000000.0,-90000000.0,853000000.0,589000000.0,1896000000.0,3431000000.0,4,2024
