Date,Symbol,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Research And Development,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Quarter,Year
2024-12-31,AAPL,0.0,0.21,45912000000.0,36330000000.0,3080000000.0,66025000000.0,45912000000.0,42832000000.0,,,36330000000.0,36330000000.0,81468000000.0,15150865000.0,15081724000.0,2.4,2.41,36330000000.0,36330000000.0,36330000000.0,36330000000.0,36330000000.0,6254000000.0,42584000000.0,,,42832000000.0,15443000000.0,8268000000.0,7175000000.0,58275000000.0,66025000000.0,124300000000.0,124300000000.0,4,2024
2024-09-30,AAPL,0.0,0.21,32502000000.0,14736000000.0,2911000000.0,51051000000.0,32502000000.0,29591000000.0,,,14736000000.0,14736000000.0,65339000000.0,15242853000.0,15171990000.0,0.97,0.97,14736000000.0,14736000000.0,14736000000.0,14736000000.0,14736000000.0,14874000000.0,29610000000.0,,,29591000000.0,14288000000.0,7765000000.0,6523000000.0,43879000000.0,51051000000.0,94930000000.0,94930000000.0,3,2024
2024-06-30,AAPL,0.0,0.159,28202000000.0,21448000000.0,2850000000.0,46099000000.0,28202000000.0,25352000000.0,,,21448000000.0,21448000000.0,60425000000.0,15348175000.0,15287521000.0,1.4,1.4,21448000000.0,21448000000.0,21448000000.0,21448000000.0,21448000000.0,4046000000.0,25494000000.0,,,25352000000.0,14326000000.0,8006000000.0,6320000000.0,39678000000.0,46099000000.0,85777000000.0,85777000000.0,2,2024
2024-03-31,AAPL,0.0,0.158,30736000000.0,23636000000.0,2836000000.0,48482000000.0,30736000000.0,27900000000.0,,,23636000000.0,23636000000.0,62853000000.0,15464709000.0,15405856000.0,1.53,1.53,23636000000.0,23636000000.0,23636000000.0,23636000000.0,23636000000.0,4422000000.0,28058000000.0,,,27900000000.0,14371000000.0,7903000000.0,6468000000.0,42271000000.0,48482000000.0,90753000000.0,90753000000.0,1,2024
2023-12-31,AAPL,0.0,0.21,43221000000.0,33916000000.0,2848000000.0,64720000000.0,43221000000.0,40373000000.0,,,33916000000.0,33916000000.0,79202000000.0,15576641000.0,15509763000.0,2.18,2.19,33916000000.0,33916000000.0,33916000000.0,33916000000.0,33916000000.0,6407000000.0,40323000000.0,,,40373000000.0,14482000000.0,7696000000.0,6786000000.0,54855000000.0,64720000000.0,119575000000.0,119575000000.0,4,2023
2023-09-30,AAPL,,,,,,,,,-18000000.0,1002000000.0,,,,,,,,,,,,,,,-18000000.0,1002000000.0,,,,,,,,,3,2023
2023-06-30,AAPL,,,,,,,,,-18000000.0,998000000.0,,,,,,,,,,,,,,,-18000000.0,998000000.0,,,,,,,,,2,2023
2024-12-31,ALC,0.0,0.186246,397000000.0,284000000.0,,1117000000.0,397000000.0,397000000.0,-10000000.0,48000000.0,284000000.0,284000000.0,2107000000.0,,,,,284000000.0,284000000.0,284000000.0,284000000.0,284000000.0,65000000.0,349000000.0,-10000000.0,48000000.0,395000000.0,990000000.0,232000000.0,802000000.0,1385000000.0,1117000000.0,2502000000.0,2477000000.0,4,2024
2024-09-30,ALC,0.0,0.099,341000000.0,263000000.0,,1083000000.0,341000000.0,341000000.0,-39000000.0,49000000.0,263000000.0,263000000.0,2122000000.0,497700000.0,494600000.0,0.53,0.53,263000000.0,263000000.0,263000000.0,263000000.0,263000000.0,29000000.0,292000000.0,-39000000.0,49000000.0,332000000.0,1039000000.0,225000000.0,809000000.0,1371000000.0,1083000000.0,2454000000.0,2433000000.0,3,2024
2024-06-30,ALC,0.0,0.204,641000000.0,223000000.0,311000000.0,1122000000.0,641000000.0,330000000.0,-38000000.0,50000000.0,223000000.0,223000000.0,2178000000.0,497000000.0,494500000.0,0.45,0.45,223000000.0,223000000.0,223000000.0,223000000.0,223000000.0,57000000.0,280000000.0,-38000000.0,50000000.0,318000000.0,1056000000.0,220000000.0,837000000.0,1374000000.0,1122000000.0,2496000000.0,2482000000.0,2,2024
